Final Code	Item Name	UOM		HSN CODE	NEW ITEM DISRIPTION
TPAUL30903D	PRECISION ANGLE PLATE (DRILL & TAP)-225X150X150 MM	NOS		90314900	CAT. NO UL30903- DRILL & TAP PRECISION ANGLE PLATE (DRILL & TAP)-225X150X150 MM
TPAUL30904S	PRECISION ANGLE PLATE (SLOTTED)-300X225X150 MM	NOS		90314900	CAT. NO UL30904 SLOT PRECISION ANGLE PLATE (SLOTTED)-300X225X150 MM
TPAUL30904D	PRECISION ANGLE PLATE (DRILL & TAP)-300X225X150 MM	NOS		90314900	CAT. NO UL30904- DRILL & TAP PRECISION ANGLE PLATE (DRILL & TAP)-300X225X150 MM
TPAUL30801N	PRECISION ANGLE PLATE-100X100X115 MM	NOS		90314900	CAT. NO UL30801 PRECISION ANGLE PLATE-100X100X115 MM
TPAUL30801S	PRECISION ANGLE PLATE WITH CLAMP-100X100X115 MM	SET			CAT. NO UL30801-CLAMP PRECISION ANGLE PLATE WITH CLAMP-100X100X115 MM
VBNUL10901P	NON MAG V BLOCKS-65X70X50 MM	PAIR			CAT. NO UL10901 NON MAG V BLOCKS-65X70X50 MM
VBNUL10901N	NON MAG V BLOCKS-65X70X50 MM	PAIR			CAT. NO UL10901-SINGLE NON MAG V BLOCKS-65X70X50 MM
PMLUL80500A	PERMANENT MAGNETIC LIFTER (1:3T)-90X65X85 MM 100 KG	NOS			CAT. NO UL80500A PERMANENT MAGNETIC LIFTER (1:3T)-90X65X85 MM 100 KG
PMLUL80501A	PERMANENT MAGNETIC LIFTER (1:3T)-170X85X105 MM 200 KG	NOS			CAT. NO UL80501A PERMANENT MAGNETIC LIFTER (1:3T)-170X85X105 MM 200 KG
PMLUL80502A	PERMANENT MAGNETIC LIFTER (1:3T)-170X85X105 MM 250 KG	NOS			CAT. NO UL80502A PERMANENT MAGNETIC LIFTER (1:3T)-170X85X105 MM 250 KG
PMLUL80503A	PERMANENT MAGNETIC LIFTER (1:3T)-230X85X105 MM 300 KG	NOS			CAT. NO UL80503A PERMANENT MAGNETIC LIFTER (1:3T)-230X85X105 MM 300 KG
PMLUL80504A	PERMANENT MAGNETIC LIFTER (1:3T)-230X85X105 MM 450 KG	NOS			CAT. NO UL80504A PERMANENT MAGNETIC LIFTER (1:3T)-230X85X105 MM 450 KG
PMLUL80505A	PERMANENT MAGNETIC LIFTER (1:3T)-255X110X130 MM 600 KG	NOS			CAT. NO UL80505A PERMANENT MAGNETIC LIFTER (1:3T)-255X110X130 MM 600 KG
PMLUL80506A	PERMANENT MAGNETIC LIFTER (1:3T)-290X110X130 MM 700 KG	NOS			CAT. NO UL80506A PERMANENT MAGNETIC LIFTER (1:3T)-290X110X130 MM 700 KG
PMLUL80507A	PERMANENT MAGNETIC LIFTER (1:3T)- 350X130X135 MM 1000 KG	NOS			CAT. NO UL80507A PERMANENT MAGNETIC LIFTER (1:3T)- 350X130X135 MM 1000 KG
PMLUL80508A	PERMANENT MAGNETIC LIFTER (1:3T)-395X150X160 MM 1500 KG	NOS			CAT. NO UL80508A PERMANENT MAGNETIC LIFTER (1:3T)-395X150X160 MM 1500 KG
PMLUL80509A	PERMANENT MAGNETIC LIFTER (1:3T)-460X170X185 MM 2000 KG	NOS			CAT. NO UL80509A PERMANENT MAGNETIC LIFTER (1:3T)-460X170X185 MM 2000 KG
PMLUL80510A	PERMANENT MAGNETIC LIFTER (1:3T) - 500X200X205 MM 3000 KG	NOS			CAT. NO UL80510A PERMANENT MAGNETIC LIFTER (1:3T) - 500X200X205 MM 3000 KG
PMLUL80511A	PERMANENT MAGNETIC LIFTER (1:3T)- 640X300X325 MM	NOS			CAT. NO UL80511A PERMANENT MAGNETIC LIFTER (1:3T)- 640X300X325 MM
