Final Code	Item Name	UOM		HSN CODE	NEW ITEM DISRIPTION
PSVEUL83001	PRECISION SINE VICE ( ECONOMY MODEL)-175X63X95 MM	NOS			CAT. NO UL83001 PRECISION SINE VICE ( ECONOMY MODEL)-175X63X95 MM
PSVEUL83002	PRECISION SINE VICE ( ECONOMY MODEL)-235X88X125 MM	NOS			CAT. NO UL83002 PRECISION SINE VICE ( ECONOMY MODEL)-235X88X125 MM
PSVEUL83003	PRECISION SINE VICE ( ECONOMY MODEL)-285X125X154 MM	NOS			CAT. NO UL83003 PRECISION SINE VICE ( ECONOMY MODEL)-285X125X154 MM
PTSVEUL83101	PRECISION TOOLMAKER SINE VICE ( ECONOMY MODEL) - 175X63X93 MM	NOS			CAT. NO UL83101 PRECISION TOOLMAKER SINE VICE ( ECONOMY MODEL) - 175X63X93 MM
PTSVEUL83102	PRECISION TOOLMAKER SINE VICE ( ECONOMY MODEL) - 190X73X104 MM	NOS			CAT. NO UL83102 PRECISION TOOLMAKER SINE VICE ( ECONOMY MODEL) - 190X73X104 MM
PTSVEUL83103	PRECISION TOOLMAKER SINE VICE ( ECONOMY MODEL) - 235X88X122 MM	NOS			CAT. NO UL83103 PRECISION TOOLMAKER SINE VICE ( ECONOMY MODEL) - 235X88X122 MM
PTVEUL82801	PRECISION TOOLMAKER VICE - 175X63X63 MM	NOS			CAT. NO UL82801 PRECISION TOOLMAKER VICE - 175X63X63 MM
PTVEUL82802	PRECISION TOOLMAKER VICE - 190X73X67 MM	NOS			CAT. NO UL82802 PRECISION TOOLMAKER VICE - 190X73X67 MM
PTVEUL82803	PRECISION TOOLMAKER VICE -235X88X85 MM	NOS			CAT. NO UL82803 PRECISION TOOLMAKER VICE -235X88X85 MM
PEDVUL31601N	STAINLESS STEEL EDM VICE-270X25X145 MM	NOS			CAT. NO UL31601 STAINLESS STEEL EDM VICE-270X25X145 MM
PEDVUL31602N	STAINLESS STEEL EDM VICE-130X35X90 MM	NOS			CAT. NO UL31602 STAINLESS STEEL EDM VICE-130X35X90 MM
VBNUL11301P	NON MAG V BLOCKS WITH CLAMP-40X45X35	PAIR			CAT. NO UL11301 NON MAG V BLOCKS WITH CLAMP-40X45X35
VBNUL11302P	NON MAG V BLOCKS WITH CLAMP-55X60X40	PAIR			CAT. NO UL11302 NON MAG V BLOCKS WITH CLAMP-55X60X40
VBNUL11303P	NON MAG V BLOCKS WITH CLAMP-65X70X45	PAIR			CAT. NO UL11303 NON MAG V BLOCKS WITH CLAMP-65X70X45
VBMRUL20102P	RECTANGULAR BLOCK HARD (3")-75X56X60 MM	PAIR			CAT. NO UL20102 HARD RECTANGULAR BLOCK HARD (3")-75X56X60 MM
VBMRUL20102N	RECTANGULAR BLOCK HARD (3")-75X56X60 MM	NOS			CAT. NO UL20102-SINGLE HARD RECTANGULAR BLOCK HARD (3")-75X56X60 MM
VBMRUL20103P	RECTANGULAR BLOCK HARD (4")-100X70X70 MM	PAIR			CAT. NO UL20103 HARD RECTANGULAR BLOCK HARD (4")-100X70X70 MM
VBMRUL20103N	RECTANGULAR BLOCK HARD (4")-100X70X70 MM	NOS			CAT. NO UL20103 SINGLE HARD RECTANGULAR BLOCK HARD (4")-100X70X70 MM
VBMRUL20104P	RECTANGULAR BLOCK HARD (6")-150X75X85 MM	PAIR			CAT. NO UL20104 HARD RECTANGULAR BLOCK HARD (6")-150X75X85 MM
VBMRUL20104N	RECTANGULAR BLOCK HARD (6")-150X75X85 MM	NOS			CAT. NO UL20104 SINGLE HARD RECTANGULAR BLOCK HARD (6")-150X75X85 MM
VBMRUL20101PS	RECTANGULAR BLOCK SOFT (1")-25X25X25 MM	PAIR			CAT. NO UL20102-SOFT RECTANGULAR BLOCK SOFT (1")-25X25X25 MM
VBMRUL20101NS	RECTANGULAR BLOCK SOFT (1")-25X25X25 MM	NOS			CAT. NO UL20102-SINGLE SOFT RECTANGULAR BLOCK SOFT (1")-25X25X25 MM
VBMRUL20103PS	RECTANGULAR BLOCK SOFT (3")-75X56X60 MM	PAIR			CAT. NO UL20102-SOFT RECTANGULAR BLOCK SOFT (3")-75X56X60 MM
VBMRUL20102NS	RECTANGULAR BLOCK SOFT (3")-75X56X60 MM	NOS			CAT. NO UL20102-SINGLE SOFT RECTANGULAR BLOCK SOFT (3")-75X56X60 MM
VBMRUL20103PS	RECTANGULAR BLOCK SOFT (4")-100X70X70 MM	PAIR			CAT. NO UL20103 SOFT RECTANGULAR BLOCK SOFT (4")-100X70X70 MM
VBMRUL20103NS	RECTANGULAR BLOCK SOFT (4")-100X70X70 MM	NOS			CAT. NO UL20103 SINGLE SOFT RECTANGULAR BLOCK SOFT (4")-100X70X70 MM
VBMUL20104PS	RECTANGULAR BLOCK SOFT (6")-150X75X85 MM	PAIR			CAT. NO UL20104 SOFT RECTANGULAR BLOCK SOFT (6")-150X75X85 MM
VBMUL20104NS	RECTANGULAR BLOCK SOFT (6")-150X75X85 MM	NOS			CAT. NO UL20104 SINGLE SOFT RECTANGULAR BLOCK SOFT (6")-150X75X85 MM
TPSUL20901	PERMANENT MAGNETIC SWEEPER-300X150 MM	NOS			CAT. NO UL20901 PERMANENT MAGNETIC SWEEPER-300X150 MM
TPSUL20902	PERMANENT MAGNETIC SWEEPER-450X150 MM	NOS			CAT. NO UL20902 PERMANENT MAGNETIC SWEEPER-450X150 MM
TPSUL20903	PERMANENT MAGNETIC SWEEPER-600X150 MM	NOS			CAT. NO UL20903 PERMANENT MAGNETIC SWEEPER-600X150 MM
MBUL50411	MAGNETIC BASE - 60X50X60 MM	NOS			CAT. NO UL50411 MAGNETIC BASE - 60X50X60 MM
MBUL50412	MAGNETIC BASE - 60X50X60 MM	NOS			CAT. NO UL50412 MAGNETIC BASE - 60X50X60 MM
MBUL50413	MAGNETIC BASE - 70X48X64 MM	NOS			CAT. NO UL50413 MAGNETIC BASE - 70X48X64 MM
MBUL50415	MAGNETIC BASE - 60X50X60 MM	NOS			CAT. NO UL50415 MAGNETIC BASE - 60X50X60 MM
MBUL50416	MAGNETIC BASE - 70X48X64 MM	NOS			CAT. NO UL50416 MAGNETIC BASE - 70X48X64 MM
MBUL50417	MAGNETIC BASE - 35X30X35 MM	NOS			CAT. NO UL50417 MAGNETIC BASE - 35X30X35 MM
MBUL50418	CENTRICATOR - 290X110X101 MM	NOS			CAT. NO UL50418 CENTRICATOR - 290X110X101 MM
MBUL50419	CENTRICATOR - 175X56X51 MM	NOS			CAT. NO UL50419 CENTRICATOR - 175X56X51 MM
